de	zh	fr	hi	it	ja	pt	ru	es
der - the (masculine)	der - （阳性）	der - le (masculin)	डेर - (पुल्लिंग)	der - il (maschile)	der - (男性的な)	der - o (masculino)	дер - (мужской род)	der - el (masculino)
die - the (feminine/plural)	die - the（阴性/复数）	mourir - le (féminin/pluriel)	मरना - (स्त्रीलिंग/बहुवचन)	morire - il (femminile/plurale)	die - (女性/複数)	morrer - o (feminino/plural)	умереть - (женский род/множественное число)	morir - el (femenino/plural)
und - and	和 - 和	et - et	और - और	e - e	そして - そして	e - e	и - и	y - y
in - in	进进出出	dans - dans	में - में	dentro - dentro	で - で	dentro - dentro	в - в	en - en
den - the (accusative masculine)	den - （宾格阳性）	tanière - le (accusatif masculin)	मांद - (अभियोगात्मक पुल्लिंग)	den - il (accusativo maschile)	den - ザ (男性対格)	den - o (acusativo masculino)	ден - (винительный падеж мужского рода)	guarida - el (acusativo masculino)
von - from, of	来自 - 来自，的	de - de, de	से - से, का	da - da, di	から - から、の	de - de, de	от - от, из	de - de, de
zu - to, at	至 - 至、于	à - à, à	को - को, पर	a - a, a	～に、で	para - para, em	to - к, при	a - a, en
das - the (neuter)	那 - （中性）	que - le (neutre)	वह - (नपुंसक)	quello - il (neutro)	それ - (中性)	isso - o (neutro)	тот - (средний род)	eso - el (neutro)
mit - with	与 - 与	avec - avec	साथ - साथ	con - con	と - と	com - com	с - с	con - con
sich - oneself, themselves	你自己——自己，自己	vous-même - soi-même, eux-mêmes	स्वयं - स्वयं, स्वयं	te stesso - se stessi, se stessi	自分自身 - 自分自身、自分自身	você mesmo - você mesmo, eles mesmos	себя - себя, себя	usted mismo - uno mismo, ellos mismos
des - of the (genitive)	des - 的（所有格）	des - du (génitif)	देस - का (जननात्मक)	des - del (genitivo)	des - (属格)	des - do (genitivo)	des (родительный падеж)	des - del (genitivo)
auf - on, upon	上——上，在	sur - sur, sur	पर - पर, पर	su - su, su	に - に、に	em - em, em cima	на - на, на	en - en, sobre
für - for	为 - 为	pour - pour	के लिए - के लिए	per - per	のために - のために	para - para	для - для	para - para
ist - is	是 - 是	est - est	है - है	è - è	です - です	é - é	есть - есть	es - es
im - in the	在 - 在	dans - dans le	में - में	nel - nel	で - で	em - no	в - в	en - en el
dem - the (dative)	dem - the（与格）	dem - le (datif)	डेम - द (डेटिव)	dem - il (dativo)	dem - (与格)	dem - o (dativo)	дем - (дательный падеж)	dem - el (dativo)
nicht - not	不 - 不	non - non	नहीं - नहीं	no - no	そうではない - そうではない	não - não	нет - нет	no - no
ein - a, an (masculine/neuter)	a - a, an（阳性/中性）	a - a, an (masculin/neutre)	ए - ए, ए (पुल्लिंग/नपुंसक)	a - a, an (maschile/neutro)	a - a、an (男性/中性)	a - a, an (masculino/neutro)	a - a, an (мужской/средний род)	a - a, an (masculino/neutro)
